2024-06-10 01:01:19 [INFO] ########### Start #########
2024-06-10 01:06:53 [INFO] ########### Start #########
2024-06-10 01:11:23 [INFO] ########### Start #########
2024-06-10 01:12:05 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:12:05 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:12:06 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:12:06 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:12:06 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:12:06 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:12:07 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:12:07 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:12:07 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:12:07 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:12:08 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:12:08 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:12:08 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:12:08 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:12:09 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:12:09 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:12:09 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:12:10 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:12:10 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:12:10 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:12:10 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
2024-06-10 01:12:11 [WARNING] WatchGodReload detected file change in '['/export/home/dpower/jag/eta_master/scripts/py/monitor/myapp.log']'. Reloading...
